what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309033180313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033205754
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1309033208639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033208663
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1309033212758
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1309033212844
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309033221140
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1309033244194
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309033281069
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1309033289122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1309033294669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033309657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033374161
activated,view,org.eclipse.team.svn.ui,0.7.9.I20110419-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1309033394029
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033406141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033434385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033435711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033437459
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1309033501886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033521318
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033528098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033528526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033534381
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309033540366
activated,view,org.eclipse.team.svn.ui,0.7.9.I20110419-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1309033542760
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309033629879
activated,view,org.eclipse.team.svn.ui,0.7.9.I20110419-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1309033636125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033639957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033644282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033644654
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1309033648669
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1309033648996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309033649195
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1309033650593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309033687699
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309033692874
activated,view,org.eclipse.team.svn.ui,0.7.9.I20110419-1700,"org.eclipse.team.svn.ui.repository.RepositoriesView",1309033706383
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309033708354
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309033718120
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309033718279
